Arduino
Astronomy
Biology
Chess

Alpha	Accuracy
0.00001	97.27177335
0.00002	97.42917104
0.00003	97.58656873
0.00004	97.58656873
0.00005	97.58656873
0.00006	97.63903463
0.00007	97.63903463
0.00008	97.63903463
0.00009	97.63903463
0.00010	97.69150052
0.00011	97.69150052
0.00012	97.69150052
0.00013	97.79643232
0.00014	97.79643232
0.00015	97.79643232
0.00016	97.79643232
0.00017	97.79643232
0.00018	97.79643232
0.00019	97.79643232
0.00020	97.79643232
0.00021	97.79643232
0.00022	97.79643232
0.00023	97.79643232
0.00024	97.79643232
0.00025	97.79643232
0.00026	97.79643232
0.00027	97.79643232
0.00028	97.79643232
0.00029	97.79643232
0.00030	97.84889822
0.00031	97.84889822
0.00032	97.84889822
0.00033	97.84889822
0.00034	97.84889822
0.00035	97.84889822
0.00036	97.84889822
0.00037	97.84889822
0.00038	97.84889822
0.00039	97.84889822
0.00040	97.84889822
0.00041	97.84889822
0.00042	97.84889822
0.00043	97.84889822
0.00044	97.84889822
0.00045	97.84889822
0.00046	97.84889822
0.00047	97.84889822
0.00048	97.84889822
0.00049	97.84889822
0.00050	97.84889822
0.00051	97.84889822
0.00052	97.90136411
0.00053	97.90136411
0.00054	97.90136411
0.00055	97.90136411
0.00056	97.90136411
0.00057	97.90136411
0.00058	97.90136411
0.00059	97.90136411
0.00060	97.90136411
0.00061	97.90136411
0.00062	97.90136411
0.00063	97.90136411
0.00064	97.90136411
0.00065	97.90136411
0.00066	97.90136411
0.00067	97.90136411
0.00068	97.90136411
0.00069	97.90136411
0.00070	97.90136411
0.00071	97.90136411
0.00072	97.90136411
0.00073	97.90136411
0.00074	97.90136411
0.00075	97.90136411
0.00076	97.90136411
0.00077	97.90136411
0.00078	97.90136411
0.00079	97.90136411
0.00080	97.90136411
0.00081	97.90136411
0.00082	97.90136411
0.00083	97.90136411
0.00084	97.90136411
0.00085	97.90136411
0.00086	97.90136411
0.00087	97.90136411
0.00088	97.95383001
0.00089	97.95383001
0.00090	97.95383001
0.00091	97.95383001
0.00092	97.95383001
0.00093	97.95383001
0.00094	97.95383001
0.00095	97.95383001
0.00096	97.95383001
0.00097	97.95383001
0.00098	97.95383001
0.00099	97.95383001
0.00100	97.95383001
0.00200	98.0587618
0.00300	98.1112277
0.00400	98.1112277
0.00500	98.1112277
0.00600	98.1112277
0.00700	98.00629591
0.00800	98.0587618
0.00900	98.00629591
0.01000	97.95383001
0.01100	97.95383001
0.01200	97.95383001
0.01300	97.90136411
0.01400	97.90136411
0.01500	97.95383001
0.01600	97.95383001
0.01700	97.95383001
0.01800	97.95383001
0.01900	97.95383001
0.02000	97.95383001
0.02100	97.95383001
0.02200	97.95383001
0.02300	97.90136411
0.02400	97.90136411
0.02500	97.90136411
0.02600	97.90136411
0.02700	97.90136411
0.02800	97.84889822
0.02900	97.84889822
0.03000	97.84889822
0.03100	97.84889822
0.03200	97.84889822
0.03300	97.84889822
0.03400	97.84889822
0.03500	97.84889822
0.03600	97.84889822
0.03700	97.84889822
0.03800	97.84889822
0.03900	97.84889822
0.04000	97.84889822
0.04100	97.84889822
0.04200	97.84889822
0.04300	97.84889822
0.04400	97.84889822
0.04500	97.84889822
0.04600	97.84889822
0.04700	97.84889822
0.04800	97.84889822
0.04900	97.84889822
0.10300	97.79643232
0.10600	97.79643232
0.10900	97.79643232
0.11200	97.84889822
0.11500	97.84889822
0.11800	97.84889822
0.12100	97.84889822
0.12400	97.84889822
0.12700	97.84889822
0.13000	97.84889822
0.13300	97.90136411
0.13600	97.90136411
0.13900	97.90136411
0.14200	97.90136411
0.14500	97.90136411
